,Colour,Memory,RAM,Battery_,AI Lens,Mobile Height,Processor_,Prize,Price Category,battery_efficiency,Rear_Camera_MP,Front_Camera_MP,price_per_ram,price_per_memory,Brand,Series,Model_Number
178,28,128.0,6.0,5000.0,0.0,16.76,7,13499.0,10K-15K,833.3333333333334,50,8,2249.8333333333335,105.4609375,4,44,12.0
179,57,64.0,4.0,5000.0,0.0,16.56,116,8749.0,5K-10K,1250.0,13,5,2187.25,136.703125,20,26,12.0
180,122,32.0,3.0,5000.0,0.0,16.56,116,8049.0,5K-10K,1666.6666666666667,13,5,2683.0,251.53125,20,26,12.0
181,122,32.0,3.0,4871.587800369686,0.0,16.43120147874307,99,1375.0,<5K,1623.8626001232287,0,0,458.3333333333333,42.96875,17,106,12.0
182,122,32.0,3.0,4871.587800369686,0.0,16.43120147874307,99,1599.0,<5K,1623.8626001232287,0,0,533.0,49.96875,18,106,12.0
183,114,64.0,4.0,5000.0,0.0,16.66,57,12499.0,10K-15K,1250.0,50,5,3124.75,195.296875,9,13,12.0
184,21,128.0,8.0,5000.0,0.0,16.76,84,17999.0,15K-20K,625.0,48,16,2249.875,140.6171875,20,9,12.0
185,234,128.0,8.0,5000.0,0.0,16.76,84,17999.0,15K-20K,625.0,48,16,2249.875,140.6171875,20,9,12.0
186,221,128.0,6.0,5000.0,0.0,16.76,50,16999.0,15K-20K,833.3333333333334,50,8,2833.1666666666665,132.8046875,20,11,12.0
187,200,64.0,4.0,5000.0,0.0,16.76,50,14999.0,10K-15K,1250.0,50,8,3749.75,234.359375,20,11,12.0
188,40,128.0,8.0,5000.0,0.0,16.33,62,13999.0,10K-15K,625.0,64,16,1749.875,109.3671875,11,49,12.0
189,205,64.0,4.0,5000.0,0.0,16.51,116,9999.0,5K-10K,1250.0,50,5,2499.75,156.234375,20,27,12.0
190,3,64.0,4.0,5000.0,0.0,16.51,116,9999.0,5K-10K,1250.0,50,5,2499.75,156.234375,20,27,12.0
191,160,64.0,4.0,5000.0,0.0,16.51,116,9999.0,5K-10K,1250.0,50,5,2499.75,156.234375,20,27,12.0
192,57,32.0,3.0,5000.0,0.0,16.56,116,8049.0,5K-10K,1666.6666666666667,13,5,2683.0,251.53125,20,26,12.0
193,57,32.0,4.0,4871.587800369686,0.0,16.43120147874307,27,2499.0,<5K,1217.8969500924215,2,0,624.75,78.09375,17,5,12.0
194,223,128.0,6.0,5000.0,0.0,16.76,7,13499.0,10K-15K,833.3333333333334,50,8,2249.8333333333335,105.4609375,4,44,12.0
195,138,128.0,6.0,5000.0,0.0,16.76,50,16999.0,15K-20K,833.3333333333334,50,8,2833.1666666666665,132.8046875,20,11,12.0
